id,date,price,bedrooms,sqft_lot,standard
7129300520,20141013T000000,221900.0,3,5650,low_standard
6414100192,20141209T000000,538000.0,3,7242,low_standard
5631500400,20150225T000000,180000.0,2,10000,low_standard
2487200875,20141209T000000,604000.0,4,5000,high_standard
1954400510,20150218T000000,510000.0,3,8080,low_standard
7237550310,20140512T000000,1225000.0,4,101930,high_standard
1321400060,20140627T000000,257500.0,3,6819,low_standard
2008000270,20150115T000000,291850.0,3,9711,low_standard
2414600126,20150415T000000,229500.0,3,7470,low_standard
3793500160,20150312T000000,323000.0,3,6560,low_standard
1736800520,20150403T000000,662500.0,3,9796,high_standard
9212900260,20140527T000000,468000.0,2,6000,low_standard
114101516,20140528T000000,310000.0,3,19901,low_standard
6054650070,20141007T000000,400000.0,3,9680,low_standard
1175000570,20150312T000000,530000.0,5,4850,low_standard
9297300055,20150124T000000,650000.0,4,5000,high_standard
1875500060,20140731T000000,395000.0,3,14040,low_standard
6865200140,20140529T000000,485000.0,4,4300,low_standard
16000397,20141205T000000,189000.0,2,9850,low_standard
7983200060,20150424T000000,230000.0,3,9774,low_standard
6300500875,20140514T000000,385000.0,4,4980,low_standard
2524049179,20140826T000000,2000000.0,3,44867,high_standard
7137970340,20140703T000000,285000.0,5,6300,low_standard
8091400200,20140516T000000,252700.0,2,9643,low_standard
3814700200,20141120T000000,329000.0,3,6500,low_standard
1202000200,20141103T000000,233000.0,3,4697,low_standard
1794500383,20140626T000000,937000.0,3,2691,high_standard
3303700376,20141201T000000,667000.0,3,1581,high_standard
5101402488,20140624T000000,438000.0,3,6380,low_standard
1873100390,20150302T000000,719000.0,4,7173,high_standard
8562750320,20141110T000000,580500.0,3,3980,high_standard
2426039314,20141201T000000,280000.0,2,1265,low_standard
461000390,20140624T000000,687500.0,4,5000,high_standard
7589200193,20141110T000000,535000.0,3,3000,low_standard
7955080270,20141203T000000,322500.0,4,6659,low_standard
9547205180,20140613T000000,696000.0,3,3060,high_standard
9435300030,20140528T000000,550000.0,4,34848,high_standard
2768000400,20141230T000000,640000.0,4,6000,high_standard
7895500070,20150213T000000,240000.0,4,8075,low_standard
2078500320,20140620T000000,605000.0,4,7553,high_standard
5547700270,20140715T000000,625000.0,4,5520,high_standard
7766200013,20140811T000000,775000.0,4,24186,high_standard
7203220400,20140707T000000,861990.0,5,5639,high_standard
9270200160,20141028T000000,685000.0,3,2280,high_standard
1432701230,20140729T000000,309000.0,3,9656,low_standard
8035350320,20140718T000000,488000.0,3,13603,low_standard
8945200830,20150325T000000,210490.0,3,8528,low_standard
4178300310,20140716T000000,785000.0,4,13416,high_standard
9215400105,20150428T000000,450000.0,3,5963,low_standard
822039084,20150311T000000,1350000.0,3,65005,high_standard
5245600105,20140916T000000,228000.0,3,9199,low_standard
7231300125,20150217T000000,345000.0,5,9134,low_standard
7518505990,20141231T000000,600000.0,3,4080,high_standard
3626039271,20150205T000000,585000.0,2,8550,high_standard
4217401195,20150303T000000,920000.0,5,6000,high_standard
9822700295,20140512T000000,885000.0,4,5000,high_standard
9478500640,20140819T000000,292500.0,4,4495,low_standard
2799800710,20150407T000000,301000.0,3,4750,low_standard
7922800400,20140827T000000,951000.0,5,14342,high_standard
8079040320,20150223T000000,430000.0,4,9976,low_standard
1516000055,20141210T000000,650000.0,3,21235,high_standard
9558200045,20140828T000000,289000.0,3,8400,low_standard
5072410070,20141021T000000,505000.0,3,8690,low_standard
9528102996,20141207T000000,549000.0,3,1044,high_standard
1189001180,20140603T000000,425000.0,3,6000,low_standard
3253500160,20141120T000000,317625.0,3,3809,low_standard
3394100030,20140909T000000,975000.0,4,11049,high_standard
3717000160,20141009T000000,287000.0,4,4648,low_standard
1274500060,20140825T000000,204000.0,3,12070,low_standard
1802000060,20140612T000000,1325000.0,5,20158,high_standard
1525059190,20140912T000000,1040000.0,5,50094,high_standard
1049000060,20150105T000000,325000.0,3,5612,low_standard
8820901275,20140610T000000,571000.0,4,7807,high_standard
5416510140,20140710T000000,360000.0,4,5000,low_standard
3444100400,20150316T000000,349000.0,3,50529,low_standard
3276920270,20141105T000000,832500.0,4,35102,high_standard
4036801170,20141013T000000,380000.0,4,7300,low_standard
2391600320,20150420T000000,480000.0,3,5060,low_standard
6300000287,20140609T000000,410000.0,3,5060,low_standard
1531000030,20150323T000000,720000.0,4,39683,high_standard
5104520400,20141202T000000,390000.0,3,5100,low_standard
7437100340,20141222T000000,360000.0,4,5889,low_standard
9418400240,20141028T000000,355000.0,2,6720,low_standard
1523059105,20150128T000000,356000.0,3,8712,low_standard
1133000671,20140602T000000,315000.0,3,6634,low_standard
4232902595,20141114T000000,940000.0,3,3600,high_standard
2599001200,20141103T000000,305000.0,5,8400,low_standard
3342103156,20140618T000000,461000.0,3,6278,low_standard
1332700270,20140519T000000,215000.0,2,2040,low_standard
3869900162,20140904T000000,335000.0,2,1066,low_standard
2791500270,20140522T000000,243500.0,4,7403,low_standard
5036300431,20150311T000000,1099880.0,5,6353,high_standard
4168000060,20150226T000000,153000.0,3,10500,low_standard
6021501535,20140725T000000,430000.0,3,5000,low_standard
6021501535,20141223T000000,700000.0,3,5000,high_standard
1483300570,20140908T000000,905000.0,4,10250,high_standard
3422049190,20150330T000000,247500.0,3,15681,low_standard
1099611230,20140912T000000,199000.0,4,6400,low_standard
722079104,20140711T000000,314000.0,3,41800,low_standard
7338200240,20140516T000000,437500.0,3,36847,low_standard
